Application,QProto Name,NetMon Old Name,NetMon New Short Name,NetMon New Long Name,Syslog Field,SIEM MPE Tag,SIEM Mapped Field (6.3 Name),SIEM Long Name 6.3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,passwordQ_PROTO_ARCHIVE,password,Passwd,Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,query_indexQ_PROTO_ARCHIVE,query_index,QueryIndex,Query Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,query_rawQ_PROTO_ARCHIVE,query_raw,QueryRaw,Query Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,query_textQ_PROTO_ARCHIVE,query_text,QueryText,Query Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,query_typeQ_PROTO_ARCHIVE,query_type,QueryType,Query Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,subjectQ_PROTO_ARCHIVE,subject,Subject,Subject,subject,<subject>,Subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHIVE,titleQ_PROTO_ARCHIVE,title,Title,Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES,file_hashQ_PROTO_ARES,file_hash,FileHash,File Hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES,nicknameQ_PROTO_ARES,nickname,Nickname,Nickname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARES,queryQ_PROTO_ARES,query,Query,Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADONGO,actionQ_PROTO_BADONGO,action,Action,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADONGO,filenameQ_PROTO_BADONGO,filename,Filename,Filename,objectname,<objectname>,Object Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADONGO,filesizeQ_PROTO_BADONGO,filesize,FileSize,File Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADONGO,loginQ_PROTO_BADONGO,login,Login,Login,login,<login>,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADONGO,passwordQ_PROTO_BADONGO,password,Passwd,Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADONGO,upload_descriptionQ_PROTO_BADONGO,upload_description,UploadDescription,Upload Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,contact_loginQ_PROTO_BADOO,contact_login,ContactLogin,Contact Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,contact_uidQ_PROTO_BADOO,contact_uid,ContactUID,Contact UID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,loginQ_PROTO_BADOO,login,Login,Login,login,<login>,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,messageQ_PROTO_BADOO,message,Msg,Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,nicknameQ_PROTO_BADOO,nickname,Nickname,Nickname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,passwordQ_PROTO_BADOO,password,Passwd,Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,receiverQ_PROTO_BADOO,receiver,Receiver,Receiver,recipient,<recipient>,Recipient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,receiver_uidQ_PROTO_BADOO,receiver_uid,ReceiverUID,Receiver UID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADOO,senderQ_PROTO_BADOO,sender,Sender,Sender,sender,<sender>,Sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIDU,encodingQ_PROTO_BAIDU,encoding,Encoding,Encoding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIDU,query_indexQ_PROTO_BAIDU,query_index,QueryIndex,Query Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIDU,query_rawQ_PROTO_BAIDU,query_raw,QueryRaw,Query Raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIDU,query_textQ_PROTO_BAIDU,query_text,QueryText,Query Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIDU,query_typeQ_PROTO_BAIDU,query_type,QueryType,Query Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE,applicationQ_PROTO_BASE,application,App,Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE,application_endQ_PROTO_BASE,application_end,AppEnd,Application End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE,application_idQ_PROTO_BASE,application_id,AppID,Application ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE,application_id_endQ_PROTO_BASE,application_id_end,AppIDEnd,Application ID End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE,declassifiedQ_PROTO_BASE,declassified,Declassified,Declassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASE,devQ_PROTO_BASE,dev,Dev,Dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
